part_num	element_pos	onset_time	duration	is_chord	pitch	midi	hand	pitch_diff	time_diff	finger_number
0	0	0.0	0.25	False	E5	76	right	(0.0, 0.0)	0	3
0	1	0.25	0.25	False	D#5	75	right	(-1.0, 1.0)	0.25	2
0	2	0.5	0.25	False	E5	76	right	(1.0, -1.0)	0.25	3
0	3	0.75	0.25	False	D#5	75	right	(-1.0, 1.0)	0.25	2
0	4	1.0	0.25	False	E5	76	right	(1.0, -1.0)	0.25	3
0	5	1.25	0.25	False	B4	71	right	(-3.0, 0.0)	0.25	1
0	6	1.5	0.25	False	D5	74	right	(2.0, 0.0)	0.25	3
0	7	1.75	0.25	False	C5	72	right	(-1.0, 0.0)	0.25	2
0	8	2.0	0.5	False	A4	69	right	(-2.0, 0.0)	0.25	1
0	10	2.75	0.25	False	C4	60	right	(-5.0, 0.0)	0.75	1
0	11	3.0	0.25	False	E4	64	right	(2.0, 0.0)	0.25	2
0	12	3.25	0.25	False	A4	69	right	(3.0, 0.0)	0.25	4
0	13	3.5	0.5	False	B4	71	right	(1.0, 0.0)	0.25	5
0	15	4.25	0.25	False	E4	64	right	(-4.0, 0.0)	0.75	1
0	16	4.5	0.25	False	G#4	68	right	(2.0, 1.0)	0.25	2
0	17	4.75	0.25	False	B4	71	right	(2.0, -1.0)	0.25	3
0	18	5.0	0.5	False	C5	72	right	(1.0, 0.0)	0.25	4
0	20	5.75	0.25	False	E4	64	right	(-5.0, 0.0)	0.75	1
0	21	6.0	0.25	False	E5	76	right	(7.0, 0.0)	0.25	5
0	22	6.25	0.25	False	D#5	75	right	(-1.0, 1.0)	0.25	4
0	23	6.5	0.25	False	E5	76	right	(1.0, -1.0)	0.25	5
0	24	6.75	0.25	False	D#5	75	right	(-1.0, 1.0)	0.25	4
0	25	7.0	0.25	False	E5	76	right	(1.0, -1.0)	0.25	5
0	26	7.25	0.25	False	B4	71	right	(-3.0, 0.0)	0.25	2
0	27	7.5	0.25	False	D5	74	right	(2.0, 0.0)	0.25	4
0	28	7.75	0.25	False	C5	72	right	(-1.0, 0.0)	0.25	3
0	29	8.0	0.5	False	A4	69	right	(-2.0, 0.0)	0.25	1
0	31	8.75	0.25	False	C4	60	right	(-5.0, 0.0)	0.75	1
0	32	9.0	0.25	False	E4	64	right	(2.0, 0.0)	0.25	2
0	33	9.25	0.25	False	A4	69	right	(3.0, 0.0)	0.25	4
0	34	9.5	0.5	False	B4	71	right	(1.0, 0.0)	0.25	5
0	36	10.25	0.25	False	D4	62	right	(-5.0, 0.0)	0.75	1
0	37	10.5	0.25	False	C5	72	right	(6.0, 0.0)	0.25	4
0	38	10.75	0.25	False	B4	71	right	(-1.0, 0.0)	0.25	3
0	39	11.0	1.0	False	A4	69	right	(-1.0, 0.0)	0.25	2
0	40	12.0	0.5	False	A4	69	right	(0.0, 0.0)	1.0	1
0	42	12.75	0.25	False	B4	71	right	(1.0, 0.0)	0.75	2
0	43	13.0	0.25	False	C5	72	right	(1.0, 0.0)	0.25	3
0	44	13.25	0.25	False	D5	74	right	(1.0, 0.0)	0.25	4
0	45	13.5	0.75	False	E5	76	right	(1.0, 0.0)	0.25	5
0	46	14.25	0.25	False	G4	67	right	(-5.0, 0.0)	0.75	1
0	47	14.5	0.25	False	F5	77	right	(6.0, 0.0)	0.25	5
0	48	14.75	0.25	False	E5	76	right	(-1.0, 0.0)	0.25	4
0	49	15.0	0.75	False	D5	74	right	(-1.0, 0.0)	0.25	3
0	50	15.75	0.25	False	F4	65	right	(-5.0, 0.0)	0.75	1
0	51	16.0	0.25	False	E5	76	right	(6.0, 0.0)	0.25	5
0	52	16.25	0.25	False	D5	74	right	(-1.0, 0.0)	0.25	4
0	53	16.5	0.75	False	C5	72	right	(-1.0, 0.0)	0.25	3
0	54	17.25	0.25	False	E4	64	right	(-5.0, 0.0)	0.75	1
0	55	17.5	0.25	False	D5	74	right	(6.0, 0.0)	0.25	5
0	56	17.75	0.25	False	C5	72	right	(-1.0, 0.0)	0.25	4
0	57	18.0	0.5	False	B4	71	right	(-1.0, 0.0)	0.25	3
0	59	18.75	0.25	False	E4	64	right	(-4.0, 0.0)	0.75	1
0	60	19.0	0.25	False	E5	76	right	(7.0, 0.0)	0.25	5
0	63	19.75	0.25	False	E5	76	right	(0.0, 0.0)	0.75	1
0	64	20.0	0.25	False	E6	88	right	(7.0, 0.0)	0.25	5
0	67	20.75	0.25	False	D#5	75	right	(-8.0, 1.0)	0.75	2
0	68	21.0	0.5	False	E5	76	right	(1.0, -1.0)	0.25	3
0	70	21.75	0.25	False	D#5	75	right	(-1.0, 1.0)	0.75	2
0	71	22.0	0.25	False	E5	76	right	(1.0, -1.0)	0.25	3
0	72	22.25	0.25	False	D#5	75	right	(-1.0, 1.0)	0.25	2
0	73	22.5	0.25	False	E5	76	right	(1.0, -1.0)	0.25	3
0	74	22.75	0.25	False	D#5	75	right	(-1.0, 1.0)	0.25	2
0	75	23.0	0.25	False	E5	76	right	(1.0, -1.0)	0.25	3
0	76	23.25	0.25	False	B4	71	right	(-3.0, 0.0)	0.25	1
0	77	23.5	0.25	False	D5	74	right	(2.0, 0.0)	0.25	3
0	78	23.75	0.25	False	C5	72	right	(-1.0, 0.0)	0.25	2
0	79	24.0	0.5	False	A4	69	right	(-2.0, 0.0)	0.25	1
0	81	24.75	0.25	False	C4	60	right	(-5.0, 0.0)	0.75	1
0	82	25.0	0.25	False	E4	64	right	(2.0, 0.0)	0.25	2
0	83	25.25	0.25	False	A4	69	right	(3.0, 0.0)	0.25	4
0	84	25.5	0.5	False	B4	71	right	(1.0, 0.0)	0.25	5
0	86	26.25	0.25	False	E4	64	right	(-4.0, 0.0)	0.75	1
0	87	26.5	0.25	False	G#4	68	right	(2.0, 1.0)	0.25	2
0	88	26.75	0.25	False	B4	71	right	(2.0, -1.0)	0.25	3
0	89	27.0	0.5	False	C5	72	right	(1.0, 0.0)	0.25	4
0	91	27.75	0.25	False	E4	64	right	(-5.0, 0.0)	0.75	1
0	92	28.0	0.25	False	E5	76	right	(7.0, 0.0)	0.25	5
0	93	28.25	0.25	False	D#5	75	right	(-1.0, 1.0)	0.25	4
0	94	28.5	0.25	False	E5	76	right	(1.0, -1.0)	0.25	5
0	95	28.75	0.25	False	D#5	75	right	(-1.0, 1.0)	0.25	4
0	96	29.0	0.25	False	E5	76	right	(1.0, -1.0)	0.25	5
0	97	29.25	0.25	False	B4	71	right	(-3.0, 0.0)	0.25	2
0	98	29.5	0.25	False	D5	74	right	(2.0, 0.0)	0.25	4
0	99	29.75	0.25	False	C5	72	right	(-1.0, 0.0)	0.25	3
0	100	30.0	0.5	False	A4	69	right	(-2.0, 0.0)	0.25	1
0	102	30.75	0.25	False	C4	60	right	(-5.0, 0.0)	0.75	1
0	103	31.0	0.25	False	E4	64	right	(2.0, 0.0)	0.25	2
0	104	31.25	0.25	False	A4	69	right	(3.0, 0.0)	0.25	4
0	105	31.5	0.5	False	B4	71	right	(1.0, 0.0)	0.25	5
0	107	32.25	0.25	False	D4	62	right	(-5.0, 0.0)	0.75	1
0	108	32.5	0.25	False	C5	72	right	(6.0, 0.0)	0.25	4
0	109	32.75	0.25	False	B4	71	right	(-1.0, 0.0)	0.25	3
0	110	33.0	0.5	False	A4	69	right	(-1.0, 0.0)	0.25	2
0	112	33.75	0.25	False	B4	71	right	(1.0, 0.0)	0.75	3
0	113	34.0	0.25	False	C5	72	right	(1.0, 0.0)	0.25	4
0	114	34.25	0.25	False	D5	74	right	(1.0, 0.0)	0.25	5
0	115	34.5	0.5	False	A4	69	right	(-3.0, 0.0)	0.25	2
0	117	35.25	0.25	True	E4	64	right	(-3.0, 0.0)	0.75	1
0	117	35.25	0.25	True	C5	72	right	(5.0, 0.0)	0.0	5
0	118	35.5	0.25	True	F4	65	right	(-4.0, 0.0)	0.25	2
0	118	35.5	0.25	True	C5	72	right	(4.0, 0.0)	0.0	5
0	119	35.75	0.25	True	E4	64	right	(-5.0, 0.0)	0.25	1
0	119	35.75	0.25	True	G4	67	right	(2.0, 0.0)	0.0	2
0	119	35.75	0.25	True	C5	72	right	(3.0, 0.0)	0.0	3
0	120	36.0	1.0	False	C5	72	right	(0.0, 0.0)	0.25	2
0	121	37.0	0.375	False	F5	77	right	(3.0, 0.0)	1.0	4
0	122	37.375	0.125	False	E5	76	right	(-1.0, 0.0)	0.375	3
0	123	37.5	0.5	False	E5	76	right	(0.0, 0.0)	0.125	2
0	124	38.0	0.5	False	D5	74	right	(-1.0, 0.0)	0.5	1
0	125	38.5	0.375	False	B-5	82	right	(4.0, 1.0)	0.5	4
0	126	38.875	0.125	False	A5	81	right	(0.0, -1.0)	0.375	3
0	127	39.0	0.25	False	A5	81	right	(0.0, 0.0)	0.125	3
0	128	39.25	0.25	False	G5	79	right	(-1.0, 0.0)	0.25	2
0	129	39.5	0.25	False	F5	77	right	(-1.0, 0.0)	0.25	1
0	130	39.75	0.25	False	E5	76	right	(-1.0, 0.0)	0.25	3
0	131	40.0	0.25	False	D5	74	right	(-1.0, 0.0)	0.25	2
0	132	40.25	0.25	False	C5	72	right	(-1.0, 0.0)	0.25	1
0	133	40.5	0.5	False	B-4	70	right	(-2.0, 1.0)	0.25	3
0	134	41.0	0.5	False	A4	69	right	(0.0, -1.0)	0.5	2
0	135	41.5	0.125	False	A4	69	right	(0.0, 0.0)	0.5	2
0	136	41.625	0.125	False	G4	67	right	(-1.0, 0.0)	0.125	1
0	137	41.75	0.125	False	A4	69	right	(1.0, 0.0)	0.125	2
0	138	41.875	0.125	False	B-4	70	right	(0.0, 1.0)	0.125	3
0	139	42.0	1.0	False	C5	72	right	(2.0, -1.0)	0.125	1
0	140	43.0	0.25	False	D5	74	right	(1.0, 0.0)	1.0	2
0	141	43.25	0.25	False	D#5	75	right	(0.0, 1.0)	0.25	3
0	142	43.5	0.75	False	E5	76	right	(1.0, -1.0)	0.25	4
0	143	44.25	0.25	False	E5	76	right	(0.0, 0.0)	0.75	4
0	144	44.5	0.25	False	F5	77	right	(1.0, 0.0)	0.25	5
0	145	44.75	0.25	False	A4	69	right	(-5.0, 0.0)	0.25	1
0	146	45.0	1.0	False	C5	72	right	(2.0, 0.0)	0.25	2
0	147	46.0	0.375	False	D5	74	right	(1.0, 0.0)	1.0	3
0	148	46.375	0.125	False	B4	71	right	(-2.0, 0.0)	0.375	1
0	149	46.5	0.125	False	C5	72	right	(1.0, 0.0)	0.125	2
0	150	46.625	0.125	False	G5	79	right	(4.0, 0.0)	0.125	5
0	151	46.75	0.125	False	G4	67	right	(-7.0, 0.0)	0.125	1
0	152	46.875	0.125	False	G5	79	right	(7.0, 0.0)	0.125	5
0	153	47.0	0.125	False	A4	69	right	(-6.0, 0.0)	0.125	1
0	154	47.125	0.125	False	G5	79	right	(6.0, 0.0)	0.125	5
0	155	47.25	0.125	False	B4	71	right	(-5.0, 0.0)	0.125	1
0	156	47.375	0.125	False	G5	79	right	(5.0, 0.0)	0.125	5
0	157	47.5	0.125	False	C5	72	right	(-4.0, 0.0)	0.125	1
0	158	47.625	0.125	False	G5	79	right	(4.0, 0.0)	0.125	3
0	159	47.75	0.125	False	D5	74	right	(-3.0, 0.0)	0.125	1
0	160	47.875	0.125	False	G5	79	right	(3.0, 0.0)	0.125	2
0	161	48.0	0.125	False	E5	76	right	(-2.0, 0.0)	0.125	1
0	162	48.125	0.125	False	G5	79	right	(2.0, 0.0)	0.125	2
0	163	48.25	0.125	False	C6	84	right	(3.0, 0.0)	0.125	5
0	164	48.375	0.125	False	B5	83	right	(-1.0, 0.0)	0.125	4
0	165	48.5	0.125	False	A5	81	right	(-1.0, 0.0)	0.125	3
0	166	48.625	0.125	False	G5	79	right	(-1.0, 0.0)	0.125	2
0	167	48.75	0.125	False	F5	77	right	(-1.0, 0.0)	0.125	1
0	168	48.875	0.125	False	E5	76	right	(-1.0, 0.0)	0.125	3
0	169	49.0	0.125	False	D5	74	right	(-1.0, 0.0)	0.125	2
0	170	49.125	0.125	False	G5	79	right	(3.0, 0.0)	0.125	4
0	171	49.25	0.125	False	F5	77	right	(-1.0, 0.0)	0.125	3
0	172	49.375	0.125	False	D5	74	right	(-2.0, 0.0)	0.125	2
0	173	49.5	0.125	False	C5	72	right	(-1.0, 0.0)	0.125	1
0	174	49.625	0.125	False	G5	79	right	(4.0, 0.0)	0.125	5
0	175	49.75	0.125	False	G4	67	right	(-7.0, 0.0)	0.125	1
0	176	49.875	0.125	False	G5	79	right	(7.0, 0.0)	0.125	5
0	177	50.0	0.125	False	A4	69	right	(-6.0, 0.0)	0.125	1
0	178	50.125	0.125	False	G5	79	right	(6.0, 0.0)	0.125	5
0	179	50.25	0.125	False	B4	71	right	(-5.0, 0.0)	0.125	1
0	180	50.375	0.125	False	G5	79	right	(5.0, 0.0)	0.125	5
0	181	50.5	0.125	False	C5	72	right	(-4.0, 0.0)	0.125	1
0	182	50.625	0.125	False	G5	79	right	(4.0, 0.0)	0.125	3
