part_num	element_pos	onset_time	duration	is_chord	pitch	midi	hand	pitch_diff	time_diff	finger_number
0	0	0.0	0.25	False	B4	71	right	(0.0, 0.0)	0.0	4
0	1	0.25	0.25	False	A4	69	right	(-1.0, 0.0)	0.25	3
0	2	0.5	0.25	False	G#4	68	right	(-1.0, 1.0)	0.25	2
0	3	0.75	0.25	False	A4	69	right	(1.0, -1.0)	0.25	1
0	4	1.0	0.5	False	C5	72	right	(2.0, 0.0)	0.25	2
0	6	2.0	0.25	False	D5	74	right	(1.0, 0.0)	1.0	3
0	7	2.25	0.25	False	C5	72	right	(-1.0, 0.0)	0.25	2
0	8	2.5	0.25	False	B4	71	right	(-1.0, 0.0)	0.25	1
0	9	2.75	0.25	False	C5	72	right	(1.0, 0.0)	0.25	2
0	10	3.0	0.5	False	E5	76	right	(2.0, 0.0)	0.25	3
0	12	4.0	0.25	False	F5	77	right	(1.0, 0.0)	1.0	4
0	13	4.25	0.25	False	E5	76	right	(-1.0, 0.0)	0.25	3
0	14	4.5	0.25	False	D#5	75	right	(-1.0, 1.0)	0.25	2
0	15	4.75	0.25	False	E5	76	right	(1.0, -1.0)	0.25	1
0	16	5.0	0.25	False	B5	83	right	(4.0, 0.0)	0.25	4
0	17	5.25	0.25	False	A5	81	right	(-1.0, 0.0)	0.25	3
0	18	5.5	0.25	False	G#5	80	right	(-1.0, 1.0)	0.25	2
0	19	5.75	0.25	False	A5	81	right	(1.0, -1.0)	0.25	3
0	20	6.0	0.25	False	B5	83	right	(1.0, 0.0)	0.25	4
0	21	6.25	0.25	False	A5	81	right	(-1.0, 0.0)	0.25	3
0	22	6.5	0.25	False	G#5	80	right	(-1.0, 1.0)	0.25	2
0	23	6.75	0.25	False	A5	81	right	(1.0, -1.0)	0.25	3
0	24	7.0	1.0	False	C6	84	right	(2.0, 0.0)	0.25	5
0	25	8.0	0.5	False	A5	81	right	(-2.0, 0.0)	1.0	3
0	26	8.5	0.5	False	C6	84	right	(2.0, 0.0)	0.5	5
0	27	9.0	0.5	False	B5	83	right	(-1.0, 0.0)	0.5	4
0	28	9.5	0.5	True	F#5	78	right	(-3.0, 1.0)	0.5	2
0	28	9.5	0.5	True	A5	81	right	(2.0, -1.0)	0.0	3
0	29	10.0	0.5	True	E5	76	right	(-3.0, 0.0)	0.5	1
0	29	10.0	0.5	True	G5	79	right	(2.0, 0.0)	0.0	3
0	30	10.5	0.5	True	F#5	78	right	(-1.0, 1.0)	0.5	2
0	30	10.5	0.5	True	A5	81	right	(2.0, -1.0)	0.0	3
0	31	11.0	0.5	False	B5	83	right	(1.0, 0.0)	0.5	4
0	32	11.5	0.5	True	F#5	78	right	(-3.0, 1.0)	0.5	2
0	32	11.5	0.5	True	A5	81	right	(2.0, -1.0)	0.0	3
0	33	12.0	0.5	True	E5	76	right	(-3.0, 0.0)	0.5	1
0	33	12.0	0.5	True	G5	79	right	(2.0, 0.0)	0.0	3
0	34	12.5	0.5	True	F#5	78	right	(-1.0, 1.0)	0.5	2
0	34	12.5	0.5	True	A5	81	right	(2.0, -1.0)	0.0	3
0	35	13.0	0.5	False	B5	83	right	(1.0, 0.0)	0.5	4
0	36	13.5	0.5	True	F#5	78	right	(-3.0, 1.0)	0.5	2
0	36	13.5	0.5	True	A5	81	right	(2.0, -1.0)	0.0	3
0	37	14.0	0.5	True	E5	76	right	(-3.0, 0.0)	0.5	1
0	37	14.0	0.5	True	G5	79	right	(2.0, 0.0)	0.0	2
0	38	14.5	0.5	True	D#5	75	right	(-3.0, 1.0)	0.5	1
0	38	14.5	0.5	True	F#5	78	right	(2.0, 0.0)	0.0	3
0	39	15.0	1.0	False	E5	76	right	(-1.0, -1.0)	0.5	2
0	40	16.0	0.5	True	C5	72	right	(-2.0, 0.0)	1.0	1
0	40	16.0	0.5	True	E5	76	right	(2.0, 0.0)	0.0	2
0	41	16.5	0.5	True	D5	74	right	(-1.0, 0.0)	0.5	1
